Date,Time,Weight
"Thursday, July 30, 2026",19:00:00,149.6
"Friday, July 31, 2026",19:00:00,149.8
"Sunday, August 16, 2026",19:00:00,150.2
"Sunday, August 30, 2026",19:00:00,150.6
